Date,Price (SP500),,Date1,Price (MSCI),,Date2,Price (GFD),,Date3,Price (GSCI),,Date4,Price (NAREIT),,Date5,Price (SP500 TR)
2/1/98,1049.34,,2/1/98,3000.81,,2/1/98,5.62,,2/1/98,2811.26,,2/1/98,1324.74,,,
3/1/98,1101.75,,3/1/98,3093.89,,3/1/98,5.66,,3/1/98,2796.66,,3/1/98,1346.59,,,
4/1/98,1111.75,,4/1/98,3119.08,,4/1/98,5.67,,4/1/98,2720.4,,4/1/98,1303.3,,,
5/1/98,1090.82,,5/1/98,3104.65,,5/1/98,5.55,,5/1/98,2592.06,,5/1/98,1292.25,,,
6/1/98,1133.84,,6/1/98,3128.85,,6/1/98,5.43,,6/1/98,2500.16,,6/1/98,1284.19,,,
7/1/98,1120.67,,7/1/98,3161.26,,7/1/98,5.49,,7/1/98,2303.62,,7/1/98,1200.01,,,
8/1/98,957.28,,8/1/98,2770.31,,8/1/98,5.03,,8/1/98,2167.67,,8/1/98,1075.84,,,
9/1/98,1017.01,,9/1/98,2686.1,,9/1/98,4.41,,9/1/98,2389.22,,9/1/98,1144.13,,,
10/1/98,1098.67,,10/1/98,2966.86,,10/1/98,4.6,,10/1/98,2277.14,,10/1/98,1112.97,,,
11/1/98,1163.63,,11/1/98,3119.59,,11/1/98,4.73,,11/1/98,2000.07,,11/1/98,1133.23,,,
12/1/98,1229.23,,12/1/98,3243.42,,12/1/98,4.64,,12/1/98,1965.65,,12/1/98,1099.09,,,
1/1/99,1279.64,,1/1/99,,,1/1/99,4.65,,1/1/99,1974.23,,1/1/99,1077.24,,,
2/1/99,1238.33,,2/1/99,,,2/1/99,5.27,,2/1/99,1883.29,,2/1/99,1048.32,,,
3/1/99,1286.37,,3/1/99,,,3/1/99,5.23,,3/1/99,2201.42,,3/1/99,1043.05,,,
4/1/99,1335.18,,4/1/99,,,4/1/99,5.35,,4/1/99,2292.4,,4/1/99,1144.33,,,
5/1/99,1301.84,,5/1/99,,,5/1/99,5.61,,5/1/99,2167.31,,5/1/99,1169.51,,,
6/1/99,1372.71,,6/1/99,,,6/1/99,5.81,,6/1/99,2306.7,,6/1/99,1153.42,,,
7/1/99,1328.72,,7/1/99,,,7/1/99,5.91,,7/1/99,2389.45,,7/1/99,1111.09,,,
8/1/99,1320.41,,8/1/99,,,8/1/99,5.98,,8/1/99,2557.63,,8/1/99,1086.83,,,
9/1/99,1282.71,,9/1/99,,,9/1/99,5.89,,9/1/99,2693.28,,9/1/99,1046.38,,,
10/1/99,1362.93,,10/1/99,,,10/1/99,6,,10/1/99,2554.39,,10/1/99,1019.39,,,
11/1/99,1388.91,,11/1/99,,,11/1/99,6.16,,11/1/99,2657.75,,11/1/99,997.96,,,
12/1/99,1469.25,,12/1/99,,,12/1/99,6.44,,12/1/99,2770,,12/1/99,1027.92,,,
1/1/00,1394.46,,1/1/00,,,1/1/00,6.67,,1/1/00,2970.29,,1/1/00,1031.41,,,
2/1/00,1366.42,,2/1/00,,,2/1/00,6.41,,2/1/00,3155.86,,2/1/00,1017.95,,,
3/1/00,1498.58,,3/1/00,,,3/1/00,6.02,,3/1/00,3119.23,,3/1/00,1050.95,,,
4/1/00,1452.43,,4/1/00,,,4/1/00,6.21,,4/1/00,3090.82,,4/1/00,1120.17,,,
5/1/00,1420.6,,5/1/00,,,5/1/00,6.29,,5/1/00,3436.91,,5/1/00,1131.89,,,
6/1/00,1454.6,,6/1/00,,,6/1/00,6.02,,6/1/00,3681.85,,6/1/00,1161.92,,,
7/1/00,1430.83,,7/1/00,,,7/1/00,6.03,,7/1/00,3399.09,,7/1/00,1260.66,,,
8/1/00,1517.68,,8/1/00,,,8/1/00,5.73,,8/1/00,3922.85,,8/1/00,1210.66,,,
9/1/00,1436.51,,9/1/00,,,9/1/00,5.78,,9/1/00,3869.14,,9/1/00,1249.59,,,
10/1/00,1429.4,,10/1/00,,,10/1/00,5.76,,10/1/00,3877.86,,10/1/00,1196.02,,,
11/1/00,1314.95,,11/1/00,,,11/1/00,5.44,,11/1/00,4235.22,,11/1/00,1210.26,,,
12/1/00,1320.28,,12/1/00,3552.51,,12/1/00,5.11,,12/1/00,4147.9,,12/1/00,1294.05,,,
1/1/01,1366.01,,1/1/01,3550.84,,1/1/01,5.18,,1/1/01,3927.75,,1/1/01,1312.88,,,
2/1/01,1239.94,,2/1/01,3284.9,,2/1/01,4.91,,2/1/01,3872.93,,2/1/01,1295.87,,,
3/1/01,1160.33,,3/1/01,3067.4,,3/1/01,4.92,,3/1/01,3721.13,,3/1/01,1307.67,,,
4/1/01,1249.46,,4/1/01,3282.54,,4/1/01,5.34,,4/1/01,3920.97,,4/1/01,1342.06,,,
5/1/01,1255.82,,5/1/01,3169.29,,5/1/01,5.41,,5/1/01,3809.28,,5/1/01,1376.06,,,
6/1/01,1224.38,,6/1/01,3040.86,,6/1/01,5.39,,6/1/01,3533.71,,6/1/01,1456.51,,,
7/1/01,1211.23,,7/1/01,2985.78,,7/1/01,5.04,,7/1/01,3542.17,,7/1/01,1431.32,,,
8/1/01,1133.58,,8/1/01,2910.76,,8/1/01,4.82,,8/1/01,3576.03,,8/1/01,1479.8,,,
9/1/01,1040.94,,9/1/01,2616.6,,9/1/01,4.58,,9/1/01,3184.24,,9/1/01,1420.49,,,
10/1/01,1059.78,,10/1/01,2683.5,,10/1/01,4.26,,10/1/01,3023.67,,10/1/01,1382.22,,,
11/1/01,1139.45,,11/1/01,2782.6,,11/1/01,4.74,,11/1/01,2861.28,,11/1/01,1456.21,,,
12/1/01,1148.08,,12/1/01,2799.19,,12/1/01,5.03,,12/1/01,2823.35,,12/1/01,1494.65,,,
1/1/02,1130.2,,1/1/02,2650.67,,1/1/02,5.03,,1/1/02,2735.26,,1/1/02,1500.34,,,
2/1/02,1106.73,,2/1/02,2669.39,,2/1/02,4.86,,2/1/02,2854.74,,2/1/02,1527.5,,,
3/1/02,1147.39,,3/1/02,2815.12,,3/1/02,5.41,,3/1/02,3239.61,,3/1/02,1618.94,,,
4/1/02,1076.92,,4/1/02,2835.51,,4/1/02,5.09,,4/1/02,3275.47,,4/1/02,1640.2,,,
5/1/02,1067.14,,5/1/02,2873.97,,5/1/02,5.04,,5/1/02,3132.95,,5/1/02,1663.91,,,
6/1/02,989.82,,6/1/02,2760.64,,6/1/02,4.82,,6/1/02,3240.01,,6/1/02,1709.47,,,
7/1/02,911.62,,7/1/02,2488.32,,7/1/02,4.47,,7/1/02,3258.75,,7/1/02,1623.17,,,
8/1/02,916.07,,8/1/02,2483.26,,8/1/02,4.14,,8/1/02,3455.84,,8/1/02,1622.78,,,
9/1/02,815.28,,9/1/02,2217.19,,9/1/02,3.61,,9/1/02,3613.65,,9/1/02,1558.64,,,
10/1/02,885.76,,10/1/02,2336.53,,10/1/02,3.91,,10/1/02,3443.14,,10/1/02,1487.43,,,
11/1/02,936.31,,11/1/02,2442.87,,11/1/02,4.21,,11/1/02,3435.66,,11/1/02,1554.81,,,
12/1/02,879.82,,12/1/02,2360.91,,12/1/02,3.82,,12/1/02,3728.76,,12/1/02,1572.61,,,
1/1/03,855.7,,1/1/03,2262.53,,1/1/03,3.98,,1/1/03,4064.02,,1/1/03,1528.74,,,
2/1/03,841.15,,2/1/03,2210.81,,2/1/03,3.7,,2/1/03,4556.68,,2/1/03,1553.5,,,
3/1/03,848.18,,3/1/03,2169.03,,3/1/03,3.82,,3/1/03,3900.01,,3/1/03,1585.62,,,
4/1/03,916.92,,4/1/03,2384.11,,4/1/03,3.86,,4/1/03,3660.66,,4/1/03,1661.26,,,
5/1/03,963.59,,5/1/03,2530.78,,5/1/03,3.35,,5/1/03,4011.64,,5/1/03,1762.95,,,
6/1/03,974.5,,6/1/03,2593.41,,6/1/03,3.53,,6/1/03,4020.44,,6/1/03,1808.81,,,
7/1/03,990.31,,7/1/03,2656.58,,7/1/03,4.47,,7/1/03,4049.07,,7/1/03,1903.5,,,
8/1/03,1008.01,,8/1/03,2721.19,,8/1/03,4.45,,8/1/03,4214.54,,8/1/03,1911.69,,,
9/1/03,995.97,,9/1/03,2805.62,,9/1/03,3.94,,9/1/03,4042.42,,9/1/03,1971.87,,,
10/1/03,1050.71,,10/1/03,2980.67,,10/1/03,4.3,,10/1/03,4130.98,,10/1/03,2014.35,,,
11/1/03,1058.2,,11/1/03,3047.36,,11/1/03,4.32,,11/1/03,4236.69,,11/1/03,2105.34,,,
12/1/03,1111.92,,12/1/03,3285.58,,12/1/03,4.26,,12/1/03,4501.27,,12/1/03,2177.53,,,
1/1/04,1131.13,,1/1/04,3332.28,,1/1/04,4.14,,1/1/04,4518.91,,1/1/04,2271.21,,,
2/1/04,1144.94,,2/1/04,3409.77,,2/1/04,3.98,,2/1/04,4854.23,,2/1/04,2321.02,,,
3/1/04,1126.21,,3/1/04,3430.29,,3/1/04,3.84,,3/1/04,4951.78,,3/1/04,2450.94,,,
4/1/04,1107.3,,4/1/04,3355.61,,4/1/04,4.5,,4/1/04,5088.35,,4/1/04,2076.83,,,
5/1/04,1120.68,,5/1/04,3370.14,,5/1/04,4.66,,5/1/04,5323.78,,5/1/04,2223.5,,,
6/1/04,1140.84,,6/1/04,3445.35,,6/1/04,4.62,,6/1/04,5073.56,,6/1/04,2290.04,,,
7/1/04,1101.72,,7/1/04,3334.01,,7/1/04,4.48,,7/1/04,5466.9,,7/1/04,2291.01,,,
8/1/04,1104.24,,8/1/04,3349.49,,8/1/04,4.13,,8/1/04,5254.62,,8/1/04,2471.59,,,
9/1/04,1114.58,,9/1/04,3437.52,,9/1/04,4.12,,9/1/04,5917.43,,9/1/04,2476.38,,,
10/1/04,1130.2,,10/1/04,3554.95,,10/1/04,4.03,,10/1/04,6162.91,,10/1/04,2588.96,,,
11/1/04,1173.82,,11/1/04,3798.78,,11/1/04,4.36,,11/1/04,5864.79,,11/1/04,2709.02,,,
12/1/04,1211.92,,12/1/04,3965.61,,12/1/04,4.22,,12/1/04,5278.98,,12/1/04,2839.7,,,
1/1/05,1181.27,,1/1/05,3893.15,,1/1/05,4.13,,1/1/05,5635.92,,1/1/05,2615.03,,,
2/1/05,1203.6,,2/1/05,4062.26,,2/1/05,4.36,,2/1/05,5986.82,,2/1/05,2673.98,,,
3/1/05,1180.59,,3/1/05,3961.78,,3/1/05,4.5,,3/1/05,6439.38,,3/1/05,2624.25,,,
4/1/05,1156.85,,4/1/05,3873.1,,4/1/05,4.2,,4/1/05,5856.56,,4/1/05,2747.03,,,
5/1/05,1191.5,,5/1/05,3879.02,,5/1/05,4.01,,5/1/05,5813.64,,5/1/05,2845.25,,,
6/1/05,1191.33,,6/1/05,3932.05,,6/1/05,3.95,,6/1/05,6150.56,,6/1/05,2978.97,,,
7/1/05,1234.18,,7/1/05,4052.84,,7/1/05,4.29,,7/1/05,6488.55,,7/1/05,3174.61,,,
8/1/05,1220.33,,8/1/05,4156.42,,8/1/05,4.02,,8/1/05,7471.14,,8/1/05,3039.81,,,
9/1/05,1228.81,,9/1/05,4342.38,,9/1/05,4.33,,9/1/05,7472.48,,9/1/05,3036.75,,,
10/1/05,1207.01,,10/1/05,4215.85,,10/1/05,4.56,,10/1/05,6700.94,,10/1/05,2953.72,,,
11/1/05,1249.48,,11/1/05,4320.1,,11/1/05,4.5,,11/1/05,6443.1,,11/1/05,3081.86,,,
12/1/05,1248.29,,12/1/05,4521.41,,12/1/05,4.4,,12/1/05,6627.92,,12/1/05,3075.06,,,
1/1/06,1280.08,,1/1/06,4799.33,,1/1/06,4.53,,1/1/06,6915.18,,1/1/06,3290.26,,,
2/1/06,1280.66,,2/1/06,4789.5,,2/1/06,4.55,,2/1/06,6216.45,,2/1/06,3337.77,,,
3/1/06,1294.87,,3/1/06,4949.71,,3/1/06,4.85,,3/1/06,6535.38,,3/1/06,3504.61,,,
4/1/06,1310.61,,4/1/06,5189.76,,4/1/06,5.07,,4/1/06,6949.29,,4/1/06,3394.99,,,
5/1/06,1270.09,,5/1/06,4994.46,,5/1/06,5.11,,5/1/06,6895.81,,5/1/06,3303.2,,,
6/1/06,1270.2,,6/1/06,4996.29,,6/1/06,5.14,,6/1/06,6975.97,,6/1/06,3468.22,,,
7/1/06,1276.66,,7/1/06,5046.33,,7/1/06,4.99,,7/1/06,7115.85,,7/1/06,3573.46,,,
8/1/06,1303.82,,8/1/06,5186.45,,8/1/06,4.73,,8/1/06,6599.42,,8/1/06,3693.51,,,
9/1/06,1335.85,,9/1/06,5195.48,,9/1/06,4.63,,9/1/06,5892.86,,9/1/06,3766.99,,,
10/1/06,1377.94,,10/1/06,5398.02,,10/1/06,4.61,,10/1/06,5741.51,,10/1/06,4000.04,,,
11/1/06,1400.63,,11/1/06,5560.83,,11/1/06,4.46,,11/1/06,6058.91,,11/1/06,4174.5,,,
12/1/06,1418.3,,12/1/06,5735.74,,12/1/06,4.71,,12/1/06,5627.64,,12/1/06,4121.18,,,
1/1/07,1438.24,,1/1/07,5775,,1/1/07,4.83,,1/1/07,5498.77,,1/1/07,4445.83,,,
2/1/07,1406.82,,2/1/07,5822.43,,2/1/07,4.55,,2/1/07,5735.06,,2/1/07,4317.28,,,
3/1/07,1420.86,,3/1/07,5973.61,,3/1/07,4.65,,3/1/07,5920.55,,3/1/07,4208.77,,,
4/1/07,1482.37,,4/1/07,6244.51,,4/1/07,4.63,,4/1/07,5904.26,,4/1/07,4215.22,,,
5/1/07,1530.62,,5/1/07,6362.21,,5/1/07,4.89,,5/1/07,5812.55,,5/1/07,4220.53,,,
6/1/07,1503.35,,6/1/07,6372.03,,6/1/07,5.03,,6/1/07,5999.78,,6/1/07,3839.06,,,
7/1/07,1455.27,,7/1/07,6278.87,,7/1/07,4.77,,7/1/07,6332.53,,7/1/07,3501.7,,,
8/1/07,1473.99,,8/1/07,6182.25,,8/1/07,4.54,,8/1/07,6067.4,,8/1/07,3692.41,,,
9/1/07,1526.75,,9/1/07,6514.18,,9/1/07,4.58,,9/1/07,6687.84,,9/1/07,3850.88,,,
10/1/07,1549.38,,10/1/07,6770.86,,10/1/07,4.48,,10/1/07,7330.34,,10/1/07,3882.25,,,
11/1/07,1481.14,,11/1/07,6549.96,,11/1/07,3.97,,11/1/07,7059.31,,11/1/07,3545.57,,,
12/1/07,1468.36,,12/1/07,6402.91,,12/1/07,4.04,,12/1/07,7466.3,,12/1/07,3386.3,,,
1/1/08,1378.55,,1/1/08,5812.05,,1/1/08,3.64,,1/1/08,7464.4,,1/1/08,3371.76,,,
2/1/08,1330.63,,2/1/08,5897.12,,2/1/08,3.53,,2/1/08,8304.77,,2/1/08,3242.42,,,
3/1/08,1322.7,,3/1/08,5837.9,,3/1/08,3.43,,3/1/08,8207.26,,3/1/08,3366.68,,,
4/1/08,1385.59,,4/1/08,6162.27,,4/1/08,3.76,,4/1/08,8860.93,,4/1/08,3574.89,,,
5/1/08,1400.38,,5/1/08,6233.99,,5/1/08,4.05,,5/1/08,9667.63,,5/1/08,3605.5,,,
6/1/08,1280,,6/1/08,5725.4,,6/1/08,3.98,,6/1/08,10558.65,,6/1/08,3198.01,,,
7/1/08,1267.38,,7/1/08,5542.11,,7/1/08,3.98,,7/1/08,9267.72,,7/1/08,3288.95,,,
8/1/08,1282.83,,8/1/08,5318.98,,8/1/08,3.81,,8/1/08,8609.5,,8/1/08,3350.69,,,
9/1/08,1166.36,,9/1/08,4551.75,,9/1/08,3.83,,9/1/08,7538.31,,9/1/08,3333.52,,,
10/1/08,968.75,,10/1/08,3633.5,,10/1/08,3.97,,10/1/08,5412.61,,10/1/08,2315.47,,,
11/1/08,896.24,,11/1/08,3438.81,,11/1/08,2.96,,11/1/08,4609.34,,11/1/08,1814.81,,,
12/1/08,903.25,,12/1/08,3645.94,,12/1/08,2.24,,12/1/08,3995.39,,12/1/08,2104.93,,,
1/1/09,825.88,,1/1/09,3288.72,,1/1/09,2.84,,1/1/09,3638.25,,1/1/09,1759.48,,,
2/1/09,735.09,,2/1/09,2952.38,,2/1/09,3.04,,2/1/09,3416.3,,2/1/09,1414.86,,,
3/1/09,797.87,,3/1/09,3140.96,,3/1/09,2.69,,3/1/09,3570.22,,3/1/09,1476.26,,,
4/1/09,872.81,,4/1/09,3548.08,,4/1/09,3.12,,4/1/09,3537.42,,4/1/09,1890.61,,,
5/1/09,919.14,,5/1/09,3974.3,,5/1/09,3.47,,5/1/09,4233.06,,5/1/09,1929.39,,,
6/1/09,919.32,,6/1/09,3952.86,,6/1/09,3.52,,6/1/09,4257.24,,6/1/09,1879,,,
7/1/09,987.48,,7/1/09,4314.26,,7/1/09,3.5,,7/1/09,4276.1,,7/1/09,2072.83,,,
8/1/09,1020.62,,8/1/09,4549.45,,8/1/09,3.4,,8/1/09,4175,,8/1/09,2332.22,,,
9/1/09,1057.08,,9/1/09,4724.5,,9/1/09,3.31,,9/1/09,4182.21,,9/1/09,2480.34,,,
10/1/09,1036.19,,10/1/09,4665.68,,10/1/09,3.39,,10/1/09,4427.82,,10/1/09,2362.14,,,
11/1/09,1095.63,,11/1/09,4760.25,,11/1/09,3.2,,11/1/09,4495.31,,11/1/09,2526.31,,,
12/1/09,1115.1,,12/1/09,4829.42,,12/1/09,3.84,,12/1/09,4534.17,,12/1/09,2690.12,,,
1/1/10,1073.87,,1/1/10,4616.96,,1/1/10,3.61,,1/1/10,4176.22,,1/1/10,2562.66,,,
2/1/10,1104.49,,2/1/10,4585.76,,2/1/10,3.6,,2/1/10,4408.36,,2/1/10,2692.79,,,
3/1/10,1169.43,,3/1/10,4874.92,,3/1/10,3.83,,3/1/10,4493.67,,3/1/10,2944.71,,,
4/1/10,1186.69,,4/1/10,4790.74,,4/1/10,3.66,,4/1/10,4618.37,,4/1/10,3138.77,,,
5/1/10,1089.41,,5/1/10,4246.17,,5/1/10,3.3,,5/1/10,4009.25,,5/1/10,2972.37,,,
6/1/10,1030.71,,6/1/10,4204.86,,6/1/10,2.95,,6/1/10,4025.97,,6/1/10,2836.82,,,
7/1/10,1101.6,,7/1/10,4604,,7/1/10,2.91,,7/1/10,4252.64,,7/1/10,3092.76,,,
8/1/10,1049.33,,8/1/10,4461.69,,8/1/10,2.48,,8/1/10,4017.69,,8/1/10,3050.51,,,
9/1/10,1141.2,,9/1/10,4899.9,,9/1/10,2.52,,9/1/10,4358.72,,9/1/10,3187.27,,,
10/1/10,1183.26,,10/1/10,5077.17,,10/1/10,2.61,,10/1/10,4470.16,,10/1/10,3332.1,,,
11/1/10,1180.55,,11/1/10,4834.02,,11/1/10,2.8,,11/1/10,4518.55,,11/1/10,3277.59,,,
12/1/10,1257.64,,12/1/10,5225.89,,12/1/10,3.31,,12/1/10,4943.41,,12/1/10,3431.62,,,
1/1/11,1286.12,,1/1/11,5349.9,,1/1/11,3.38,,1/1/11,5094.27,,1/1/11,3562.13,,,
2/1/11,1327.22,,2/1/11,5527.53,,2/1/11,3.41,,2/1/11,5285.08,,2/1/11,3722.32,,,
3/1/11,1325.83,,3/1/11,5406.15,,3/1/11,3.45,,3/1/11,5515.06,,3/1/11,3671.46,,,
4/1/11,1363.61,,4/1/11,5734.64,,4/1/11,3.3,,4/1/11,5758.37,,4/1/11,3847.71,,,
5/1/11,1345.2,,5/1/11,5573.71,,5/1/11,3.05,,5/1/11,5361.71,,5/1/11,3883.34,,,
6/1/11,1320.64,,6/1/11,5505.29,,6/1/11,3.16,,6/1/11,5077.25,,6/1/11,3776.69,,,
7/1/11,1292.28,,7/1/11,5418.7,,7/1/11,2.81,,7/1/11,5200.87,,7/1/11,3788.86,,,
8/1/11,1218.89,,8/1/11,4930.06,,8/1/11,2.22,,8/1/11,5104.94,,8/1/11,3605.03,,,
9/1/11,1131.42,,9/1/11,4461.87,,9/1/11,1.92,,9/1/11,4483.73,,9/1/11,3228.59,,,
10/1/11,1253.3,,10/1/11,4892.32,,10/1/11,2.18,,10/1/11,4920.72,,10/1/11,3653.98,,,
11/1/11,1246.96,,11/1/11,4656.26,,11/1/11,2.07,,11/1/11,4990.43,,11/1/11,3522.02,,,
12/1/11,1257.6,,12/1/11,4612.71,,12/1/11,1.87,,12/1/11,4885.26,,12/1/11,3682.29,,,
1/1/12,1312.41,,1/1/12,4859.63,,1/1/12,1.8,,1/1/12,4994.31,,1/1/12,3919.93,,,
2/1/12,1365.68,,2/1/12,5139.97,,2/1/12,1.98,,2/1/12,5297.13,,2/1/12,3892.19,,,
3/1/12,1408.47,,3/1/12,5119.19,,3/1/12,2.22,,3/1/12,5172.64,,3/1/12,4063.87,,,
4/1/12,1397.91,,4/1/12,5024.9,,4/1/12,1.92,,4/1/12,5146.09,,4/1/12,4175.81,,,
5/1/12,1310.33,,5/1/12,4454.41,,5/1/12,1.58,,5/1/12,4478.23,,5/1/12,4012.72,,,
6/1/12,1362.16,,6/1/12,4768.43,,6/1/12,1.66,,6/1/12,4532.03,,6/1/12,4244.87,,,
7/1/12,1379.32,,7/1/12,4823.09,,7/1/12,1.49,,7/1/12,4820.88,,7/1/12,4345.05,,,
8/1/12,1406.58,,8/1/12,4953.13,,8/1/12,1.56,,8/1/12,5127.74,,8/1/12,4356.42,,,
9/1/12,1440.67,,9/1/12,5101.4,,9/1/12,1.64,,9/1/12,5054.81,,9/1/12,4320.99,,,
10/1/12,1412.16,,10/1/12,5144.26,,10/1/12,1.69,,10/1/12,4849.29,,10/1/12,4302.37,,,
11/1/12,1416.18,,11/1/12,5269.06,,11/1/12,1.61,,11/1/12,4920.92,,11/1/12,4275.74,,,
12/1/12,1426.19,,12/1/12,5438.3,,12/1/12,1.76,,12/1/12,4889.01,,12/1/12,4408.71,,,